scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
swing-breakout-strategy-quant-core	15m	BCHUSD	17	8	-65.18	0.602	-0.190	-111.07	2	42
swing-breakout-strategy-quant-core	1h	AKEUSD	6	6	186.67	99.000	2.085	185.56	3	63
structure-anchored-vwap	4h	BNBUSD	9	9	206.47	99.000	1.100	158.68	6	333
swing-breakout-strategy-quant-core	1h	AVAXUSD	9	3	-55.65	0.500	-0.309	-71.53	2	125
structure-anchored-vwap	1h	BNBUSD	15	13	276.62	8.046	0.850	288.72	5	125
swing-breakout-strategy-quant-core	1h	MUBARAKUSD	13	5	231.59	2.360	0.878	204.16	5	125
smart-grid-scalping-pullback-strategy-bullbyte	4h	BCHUSD	33	24	151.06	2.262	0.218	112.95	5	333
swing-breakout-strategy-quant-core	4h	AKEUSD	0	0	0.00	0.000	0.000	0.00	0	63
swing-breakout-strategy-quant-core	1h	SAGAUSD	10	5	52.04	1.489	0.271	40.45	3	125
swing-breakout-strategy-quant-core	1h	AINUSD	9	5	20.51	1.255	0.128	13.43	5	125
swing-breakout-strategy-quant-core	1h	COOKIEUSD	12	8	96.90	2.223	0.401	79.15	2	125
swing-breakout-strategy-quant-core	1h	1000PEPEUSD	7	4	1.95	1.032	0.024	72.00	3	125
swing-breakout-strategy-quant-core	4h	AVAXUSD	4	3	44.22	3.121	0.560	39.46	2	333
structure-anchored-vwap	4h	BCHUSD	9	8	195.23	10.443	1.013	178.28	5	333
swing-breakout-strategy-quant-core	1h	ETCUSD	7	5	80.48	2.950	0.571	61.89	3	125
swing-breakout-strategy-quant-core	1h	WIFUSD	8	6	28.77	1.717	0.182	0.62	3	125
swing-breakout-strategy-quant-core	1h	DOGEUSD	6	4	29.68	1.771	0.254	20.22	3	125
structure-anchored-vwap	15m	VVVUSD	19	14	111.55	2.015	0.291	95.80	5	42
swing-breakout-strategy-quant-core	1h	ETHUSD	8	3	133.87	2.214	0.864	21.95	2	125
swing-breakout-strategy-quant-core	4h	MUBARAKUSD	8	6	36.71	1.866	0.231	2.51	2	333
structure-anchored-vwap	1h	BCHUSD	10	9	92.49	5.153	0.448	70.31	5	125
swing-breakout-strategy-quant-core	1h	SOLUSD	9	7	185.93	5.569	1.015	138.63	4	125
smart-grid-scalping-pullback-strategy-bullbyte	1h	VVVUSD	29	25	285.98	5.718	0.447	247.20	6	125
swing-breakout-strategy-quant-core	1h	ZECUSD	17	10	40.51	1.280	0.142	37.14	4	125
swing-breakout-strategy-quant-core	1h	AAVEUSD	11	8	58.55	2.019	0.318	47.12	5	125
take-liquidity-multi-time-frame-tradesystem	1h	AKEUSD	32	10	-99.77	0.678	-0.186	-132.61	2	63
swing-breakout-strategy-quant-core	4h	SAGAUSD	5	2	15.12	1.258	0.175	28.73	2	333
swing-breakout-strategy-quant-core	1h	NEARUSD	9	5	33.16	1.401	0.197	22.05	2	125
swing-breakout-strategy-quant-core	1h	FILUSD	9	4	-36.28	0.634	-0.197	-52.94	2	125
swing-breakout-strategy-quant-core	1h	SUIUSD	9	5	-11.49	0.857	-0.057	-29.02	3	125
swing-breakout-strategy-quant-core	4h	AINUSD	4	3	26.09	2.310	0.329	23.67	2	333
swing-breakout-strategy-quant-core	1h	UNIUSD	16	11	68.35	1.652	0.215	99.00	5	125
swing-breakout-strategy-quant-core	1h	HYPEUSD	8	5	95.42	2.533	0.610	114.51	4	125
take-liquidity-multi-time-frame-tradesystem	1h	AVAXUSD	75	29	-187.68	0.744	-0.127	-318.98	4	125
swing-breakout-strategy-quant-core	1h	VVVUSD	12	6	52.48	1.433	0.242	46.26	3	125
swing-breakout-strategy-quant-core	1h	XRPUSD	8	5	46.90	1.755	0.298	18.07	4	125
swing-breakout-strategy-quant-core	4h	COOKIEUSD	1	0	-20.00	0.000	-1.000	-20.00	0	333
swing-breakout-strategy-quant-core	1h	BTCUSD	7	6	52.03	3.637	0.374	32.10	5	125
structure-anchored-vwap	15m	XRPUSD	14	10	81.63	1.966	0.289	27.98	5	42
swing-breakout-strategy-quant-core	1h	TAOUSD	8	6	231.51	6.283	1.370	197.24	4	125
swing-breakout-strategy-quant-core	4h	1000PEPEUSD	6	1	-87.07	0.086	-0.754	-87.55	1	268
swing-breakout-strategy-quant-core	1h	EVAAUSD	11	6	126.69	2.145	0.584	117.78	2	125
take-liquidity-multi-time-frame-tradesystem	1h	MUBARAKUSD	76	32	195.81	1.233	0.143	38.76	5	125
swing-breakout-strategy-quant-core	1h	PIEVERSEUSD	17	7	48.39	1.229	0.165	39.31	3	125
swing-breakout-strategy-quant-core	1h	LINKUSD	11	7	87.51	2.087	0.413	36.73	2	125
swing-breakout-strategy-quant-core	4h	ETCUSD	2	1	14.57	1.704	0.382	12.16	1	333
swing-breakout-strategy-quant-core	1h	BNBUSD	14	7	-46.47	0.659	-0.160	-105.95	2	125
swing-breakout-strategy-quant-core	1h	BCHUSD	10	3	-25.79	0.811	-0.111	-35.85	3	125
take-liquidity-multi-time-frame-tradesystem	15m	AKEUSD	27	9	-89.36	0.629	-0.193	-106.21	3	42
take-liquidity-multi-time-frame-tradesystem	1h	SAGAUSD	80	33	-315.60	0.579	-0.227	-427.25	2	125
smart-grid-scalping-pullback-strategy-bullbyte	1h	XRPUSD	54	35	40.48	1.158	0.041	-61.00	6	125
swing-breakout-strategy-quant-core	4h	WIFUSD	4	2	-1.82	0.956	-0.012	-3.55	1	333
take-liquidity-multi-time-frame-tradesystem	1h	AINUSD	86	36	-0.45	0.999	0.016	-110.44	4	125
swing-breakout-strategy-quant-core	4h	DOGEUSD	3	1	-30.63	0.214	-0.514	-31.15	0	333
take-liquidity-multi-time-frame-tradesystem	1h	COOKIEUSD	77	31	-217.77	0.694	-0.149	-327.25	3	125
structure-anchored-vwap	15m	BTCUSD	9	8	132.24	7.541	0.722	159.25	4	42
