scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
mirage-liquidity-sweep-pro	15m	PIEVERSEUSD	21	9	-61.91	0.704	-0.144	-70.34	3	125
pulse-trend-radar	1h	UNIUSD	102	46	-230.01	0.765	-0.118	-296.16	4	250
structure-anchored-vwap	1h	TAOUSD	30	21	435.15	2.821	0.633	356.26	4	250
pulse-trend-radar	4h	AVAXUSD	72	36	-48.99	0.919	-0.031	-70.87	4	666
pulse-trend-radar	15m	XRPUSD	182	76	-583.65	0.586	-0.231	-691.54	1	125
pulse-trend-radar	1h	PIEVERSEUSD	97	48	210.56	1.212	0.115	90.43	4	154
pulse-trend-radar	4h	LINKUSD	77	37	-12.20	0.985	0.005	-44.54	4	666
structure-anchored-vwap	15m	ETHUSD	36	27	351.32	2.944	0.435	128.01	7	125
pulse-trend-radar	4h	XRPUSD	75	35	-85.40	0.877	-0.048	-113.34	2	666
mirage-liquidity-sweep-pro	1h	SUIUSD	31	16	-62.63	0.785	-0.096	-91.59	4	250
pulse-trend-radar	1h	ZECUSD	102	52	-65.73	0.928	-0.024	-144.22	5	250
structure-anchored-vwap	1h	HYPEUSD	28	22	215.78	2.815	0.358	118.21	6	250
pulse-trend-radar	1h	AKEUSD	21	10	-27.81	0.836	-0.083	-26.98	2	63
pulse-trend-radar	4h	DOGEUSD	77	38	-43.27	0.943	-0.011	-57.73	4	666
pulse-trend-radar	4h	SUIUSD	78	33	-190.87	0.758	-0.126	-245.41	4	666
pulse-trend-radar	15m	DOGEUSD	182	89	-258.06	0.830	-0.072	-427.95	2	125
pulse-trend-radar	1h	ETHUSD	116	56	79.73	1.060	0.048	-179.95	5	250
structure-anchored-vwap	1h	EVAAUSD	27	20	619.20	4.232	0.926	513.93	6	250
pulse-trend-radar	4h	NEARUSD	77	37	21.64	1.029	0.027	-30.31	5	666
mirage-liquidity-sweep-pro	1h	NEARUSD	19	8	-46.44	0.759	-0.117	-65.84	2	250
pulse-trend-radar	4h	AAVEUSD	49	22	-84.16	0.781	-0.149	-103.73	4	666
pulse-trend-radar	1h	AVAXUSD	116	54	-8.69	0.993	0.010	-165.60	4	250
structure-anchored-vwap	1h	SAGAUSD	27	23	1024.27	10.750	1.349	755.39	8	250
pulse-trend-radar	4h	BNBUSD	67	32	-43.90	0.926	-0.044	-85.77	4	666
structure-anchored-vwap	15m	AVAXUSD	40	32	718.61	3.980	0.699	430.22	8	125
mirage-liquidity-sweep-pro	15m	ZECUSD	56	27	-167.03	0.686	-0.164	-212.79	3	125
pulse-trend-radar	1h	LINKUSD	129	59	-224.94	0.815	-0.087	-428.85	5	250
pulse-trend-radar	4h	ETCUSD	87	43	-8.93	0.989	0.006	-49.04	4	666
pulse-trend-radar	15m	SUIUSD	223	105	-317.56	0.831	-0.075	-633.92	3	125
mirage-liquidity-sweep-pro	1h	AAVEUSD	26	14	-52.29	0.757	-0.107	-71.22	4	250
structure-anchored-vwap	1h	MUBARAKUSD	26	19	437.22	3.520	0.723	415.89	6	250
pulse-trend-radar	4h	WIFUSD	91	40	-188.94	0.797	-0.104	-175.79	3	666
pulse-trend-radar	1h	XRPUSD	98	46	229.56	1.187	0.122	7.70	4	250
pulse-trend-radar	4h	TAOUSD	70	30	-185.98	0.719	-0.138	-212.29	3	666
mirage-liquidity-sweep-pro	15m	AKEUSD	40	18	-132.31	0.612	-0.165	-196.22	2	63
pulse-trend-radar	1h	DOGEUSD	114	49	-265.12	0.762	-0.124	-377.84	3	250
pulse-trend-radar	4h	HYPEUSD	47	28	192.30	1.494	0.199	189.17	7	476
structure-anchored-vwap	1h	1000PEPEUSD	28	19	216.28	2.064	0.369	171.37	5	250
pulse-trend-radar	4h	EVAAUSD	39	17	75.65	1.201	0.109	87.83	4	351
pulse-trend-radar	15m	NEARUSD	263	100	-723.66	0.598	-0.233	-832.47	0	125
structure-anchored-vwap	15m	LINKUSD	23	17	177.72	2.387	0.368	108.69	6	125
pulse-trend-radar	1h	SUIUSD	120	57	-97.01	0.921	-0.030	-280.38	4	250
pulse-trend-radar	4h	SAGAUSD	75	41	260.83	1.323	0.170	260.63	6	666
mirage-liquidity-sweep-pro	1h	BNBUSD	24	10	-160.03	0.344	-0.365	-128.45	1	250
structure-anchored-vwap	1h	COOKIEUSD	19	16	542.65	7.930	1.182	491.26	7	250
pulse-trend-radar	4h	MUBARAKUSD	49	29	204.21	1.507	0.203	177.73	7	551
pulse-trend-radar	4h	1000PEPEUSD	20	13	148.20	2.144	0.358	184.42	5	268
pulse-trend-radar	1h	NEARUSD	102	40	-238.55	0.798	-0.120	-316.91	3	250
pulse-trend-radar	4h	COOKIEUSD	78	39	123.72	1.156	0.089	84.46	4	607
structure-anchored-vwap	1h	AINUSD	30	20	361.91	2.454	0.540	305.96	6	250
pulse-trend-radar	4h	AINUSD	59	27	-10.15	0.985	0.005	-26.37	6	434
pulse-trend-radar	1h	AAVEUSD	115	59	162.98	1.147	0.081	6.99	5	250
pulse-trend-radar	15m	AAVEUSD	241	96	-664.52	0.596	-0.232	-775.57	1	125
mirage-liquidity-sweep-pro	1h	ETCUSD	18	6	-120.17	0.460	-0.346	-144.26	3	250
pulse-trend-radar	4h	BCHUSD	70	36	43.70	1.069	0.041	-36.24	4	666
pulse-trend-radar	1h	BNBUSD	112	49	-278.61	0.729	-0.139	-328.83	3	250
pulse-trend-radar	4h	VVVUSD	57	28	140.61	1.221	0.133	70.25	6	601
structure-anchored-vwap	1h	BCHUSD	22	18	102.44	2.241	0.226	96.32	6	250
structure-anchored-vwap	15m	XRPUSD	33	26	311.72	2.884	0.420	178.02	7	125
pulse-trend-radar	1h	ETCUSD	140	65	-129.29	0.893	-0.038	-337.88	3	250
mirage-liquidity-sweep-pro	15m	ETHUSD	53	26	-160.84	0.662	-0.159	-234.28	2	125
mirage-liquidity-sweep-pro	1h	WIFUSD	24	15	198.04	2.099	0.390	174.81	7	250
pulse-trend-radar	15m	BNBUSD	143	70	-333.21	0.713	-0.134	-514.17	3	125
structure-anchored-vwap	1h	VVVUSD	30	21	243.01	2.153	0.376	203.95	7	250
pulse-trend-radar	1h	WIFUSD	137	77	841.69	1.578	0.239	381.10	6	250
dynamic-trend-bands-anchored-vwap-signals	1h	BTCUSD	60	27	-277.07	0.513	-0.268	-365.18	0	250
dynamic-trend-bands-anchored-vwap-signals	1h	FILUSD	57	20	-317.89	0.455	-0.322	-374.11	2	250
dynamic-trend-bands-anchored-vwap-signals	15m	BTCUSD	46	23	-81.47	0.807	-0.079	-123.86	2	125
pulse-trend-radar	1h	TAOUSD	121	53	-142.91	0.883	-0.051	-260.27	3	250
dynamic-trend-bands-anchored-vwap-signals	1h	SOLUSD	73	35	-248.56	0.611	-0.196	-299.14	0	250
mirage-liquidity-sweep-pro	1h	TAOUSD	27	11	9.66	1.033	0.040	-36.48	4	250
dynamic-trend-bands-anchored-vwap-signals	1h	UNIUSD	84	37	-159.93	0.803	-0.087	-238.22	1	250
structure-anchored-vwap	15m	DOGEUSD	44	36	576.36	4.130	0.535	383.74	7	125
dynamic-trend-bands-anchored-vwap-signals	1h	PIEVERSEUSD	67	33	156.38	1.203	0.128	171.85	4	154
